"App";"Sexo";"Estado_civil";"renda";"satisfacao";"Gasto"
"1";"1";"1";"2066,13";"86,93";"43,06"
"1";"1";"1";"1920,41";"84,85";"53,94"
"1";"1";"2";"2632,14";"82,33";"43,30"
"1";"1";"1";"2488,07";"81,57";"48,89"
"1";"1";"1";"2094,67";"80,80";"52,98"
"1";"1";"1";"2442,52";"80,52";"56,92"
"1";"1";"3";"2340,54";"79,59";"48,58"
"1";"1";"2";"2933,99";"79,29";"44,66"
"1";"1";"2";"2411,19";"78,90";"48,96"
"1";"1";"3";"2791,30";"78,52";"54,13"
"1";"1";"1";"2790,12";"78,14";"50,64"
"1";"1";"1";"2509,01";"78,14";"40,64"
"1";"1";"3";"2683,61";"77,85";"42,97"
"1";"1";"1";"2590,20";"77,08";"59,10"
"1";"1";"2";"2673,27";"76,83";"47,53"
"1";"1";"1";"2727,41";"76,74";"38,93"
"1";"1";"2";"2617,34";"76,73";"51,33"
"1";"1";"3";"2569,96";"76,34";"52,17"
"1";"1";"2";"2889,62";"76,18";"45,15"
"1";"1";"1";"2628,14";"76,12";"43,02"
"1";"1";"1";"2659,77";"76,00";"42,59"
"1";"1";"2";"2980,62";"75,95";"37,78"
"1";"1";"2";"2762,53";"75,94";"49,41"
"1";"1";"1";"3174,13";"75,92";"46,71"
"1";"1";"1";"2883,34";"75,84";"44,88"
"1";"1";"2";"3016,46";"75,84";"56,90"
"1";"1";"3";"2916,79";"75,71";"47,19"
"1";"1";"3";"2813,35";"75,70";"58,91"
"1";"1";"2";"2804,23";"75,60";"42,93"
"1";"1";"1";"3252,85";"75,59";"39,49"
"1";"1";"3";"2721,26";"75,54";"53,57"
"1";"1";"3";"2708,00";"75,32";"50,85"
"1";"1";"1";"2663,25";"75,30";"44,76"
"1";"1";"1";"2917,19";"75,28";"56,89"
"1";"1";"1";"2796,33";"75,23";"46,98"
"1";"1";"3";"2614,84";"75,07";"51,28"
"1";"1";"2";"2972,86";"74,94";"47,75"
"1";"1";"2";"3086,91";"74,78";"54,54"
"1";"1";"3";"3070,13";"74,73";"51,63"
"1";"1";"2";"3043,68";"74,67";"49,63"
"1";"1";"3";"2785,91";"74,42";"50,71"
"1";"1";"2";"3094,20";"74,38";"45,08"
"1";"1";"1";"2799,82";"74,32";"49,23"
"1";"1";"2";"2776,39";"74,31";"47,55"
"1";"1";"1";"2895,34";"74,19";"54,44"
"1";"1";"3";"2602,08";"74,11";"45,20"
"1";"1";"1";"3204,31";"74,06";"43,50"
"1";"1";"1";"3414,29";"74,05";"47,19"
"1";"1";"1";"3434,35";"73,79";"54,39"
"1";"1";"3";"2956,09";"73,74";"58,69"
"1";"1";"1";"2700,92";"73,65";"49,44"
"1";"1";"2";"2969,05";"73,62";"47,03"
"1";"1";"3";"2967,47";"73,55";"48,60"
"1";"1";"1";"2937,39";"73,46";"47,34"
"1";"1";"1";"2792,78";"73,44";"46,51"
"1";"1";"2";"3043,29";"73,27";"40,78"
"1";"1";"3";"2926,43";"73,23";"46,20"
"1";"1";"2";"2979,65";"73,18";"42,65"
"1";"1";"3";"3086,80";"73,17";"58,48"
"1";"1";"3";"2998,73";"73,11";"46,29"
"1";"1";"3";"3349,08";"73,07";"52,57"
"1";"1";"3";"3179,45";"73,01";"51,38"
"1";"1";"1";"3001,09";"73,01";"45,34"
"1";"1";"3";"3454,65";"72,90";"50,52"
"1";"1";"2";"3031,18";"72,88";"50,33"
"1";"1";"2";"3083,60";"72,77";"50,63"
"1";"1";"3";"3009,09";"72,59";"51,31"
"1";"1";"3";"3293,40";"72,56";"51,55"
"1";"1";"3";"3315,56";"72,51";"51,45"
