epi_week;date;country;state;city;ibgeID;newDeaths;deaths;newCases;totalCases;deaths100k;totalCases100k;source;last_info_date
10;05/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;1;1;0;0,53985;SES;02/10/2021
10;06/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
10;06/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;1;1;0;0,01476;SES;02/10/2021
10;07/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
10;07/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;0;1;0;0,01476;SES;02/10/2021
11;08/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
11;08/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;1;2;0;0,02952;SES;02/10/2021
11;09/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
11;09/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;0;2;0;0,02952;SES;02/10/2021
11;10/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
11;10/03/2020;Brazil;RJ;CASO SEM LOCALIZAÇÃO DEFINIDA/RJ;33;0;0;5;5;0;0,02896;SES;10/03/2020
11;10/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;0;2;0;0,02952;SES;02/10/2021
11;11/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
11;11/03/2020;Brazil;RJ;CASO SEM LOCALIZAÇÃO DEFINIDA/RJ;33;0;0;5;10;0;0,05792;SES;11/03/2020
11;11/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;0;2;0;0,02952;SES;02/10/2021
11;12/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
11;12/03/2020;Brazil;RJ;CASO SEM LOCALIZAÇÃO DEFINIDA/RJ;33;0;0;-9;1;0;0,00579;SES;12/03/2020
11;12/03/2020;Brazil;RJ;Niterói/RJ;3303302;0;0;1;1;0;0,19343;SES;02/10/2021
11;12/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;11;13;0;0,19187;SES;02/10/2021
11;13/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
11;13/03/2020;Brazil;RJ;CASO SEM LOCALIZAÇÃO DEFINIDA/RJ;33;0;0;0;1;0;0,00579;SES;13/03/2020
11;13/03/2020;Brazil;RJ;Niterói/RJ;3303302;0;0;0;1;0;0,19343;SES;02/10/2021
11;13/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;0;13;0;0,19187;SES;02/10/2021
11;14/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
11;14/03/2020;Brazil;RJ;CASO SEM LOCALIZAÇÃO DEFINIDA/RJ;33;0;0;6;7;0;0,04054;SES;14/03/2020
11;14/03/2020;Brazil;RJ;Niterói/RJ;3303302;0;0;0;1;0;0,19343;SES;02/10/2021
11;14/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;0;13;0;0,19187;SES;02/10/2021
12;15/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
12;15/03/2020;Brazil;RJ;Niterói/RJ;3303302;0;0;0;1;0;0,19343;SES;02/10/2021
12;15/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;9;22;0;0,3247;SES;02/10/2021
12;16/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
12;16/03/2020;Brazil;RJ;CASO SEM LOCALIZAÇÃO DEFINIDA/RJ;33;0;0;6;6;0;0,03475;SES;16/03/2020
12;16/03/2020;Brazil;RJ;Niterói/RJ;3303302;0;0;0;1;0;0,19343;SES;02/10/2021
12;16/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;1;23;0;0,33946;SES;02/10/2021
12;17/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
12;17/03/2020;Brazil;RJ;CASO SEM LOCALIZAÇÃO DEFINIDA/RJ;33;0;0;2;8;0;0,04634;SES;17/03/2020
12;17/03/2020;Brazil;RJ;Niterói/RJ;3303302;0;0;0;1;0;0,19343;SES;02/10/2021
12;17/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;0;23;0;0,33946;SES;02/10/2021
12;18/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
12;18/03/2020;Brazil;RJ;Guapimirim/RJ;3301850;0;0;1;1;0;1,60707;SES;02/10/2021
12;18/03/2020;Brazil;RJ;Niterói/RJ;3303302;0;0;5;6;0;1,16058;SES;02/10/2021
12;18/03/2020;Brazil;RJ;Rio de Janeiro/RJ;3304557;0;0;32;55;0;0,81174;SES;02/10/2021
12;19/03/2020;Brazil;RJ;Barra Mansa/RJ;3300407;0;0;0;1;0;0,53985;SES;02/10/2021
